id,id_long,short_name,postchange_start,prechange_end,site_alt,site_lat,site_lon,band,beamwidth,state
1,001_1,CampRd,-,-,124.25,-37.691,144.946,C,1.7,VIC
2,002_1,Melb,-,30/07/2007,44,-37.8553,144.7554,C,1,VIC
2,002_2,Melb,31/07/2007,-,44,-37.8553,144.7555,S,1,VIC
3,003_1,Sydney,-,08/02/2011,465,-34.2625,150.8752,S,1.9,NSW
3,003_2,Wollgng,09/02/2011,-,449,-34.2624,150.8751,S,1.9,NSW
4,004_1,LemnTre,-,-,84,-32.7298,152.0254,S,1.9,NSW
5,005_1,Carnvn,-,-,10,-24.888,113.6694,C,1.7,WA
6,006_1,Gerlton,-,-,46,-28.8047,114.6973,C,1.7,WA
7,007_1,Wyndham,-,-,342,-15.4517,128.1209,C,1.7,WA
8,008_1,Kanign,-,26/08/2007,375,-25.9574,152.577,S,3,QLD
8,008_2,Kanign,27/08/2007,-,375,-25.9574,152.5768,S,1.9,QLD
9,009_1,Gove,-,-,76.45,-12.275,136.8199,C,1.7,NT
10,010_1,Darwin,-,-,38,-12.4247,130.8919,C,1.7,NT
11,011_1,Adel,-,-,13,-34.95,138.533,C,1.7,SA
12,012_1,Perth,-,-,10,-31.953,115.842,C,1.7,WA
14,014_1,Gambier,-,02/02/2004,85,-37.7477,140.7746,S,3,SA
14,014_2,Gambier,03/02/2004,-,85,-37.7477,140.7747,C,1.7,SA
15,015_1,Dampier,-,-,38,-20.6536,116.6833,C,1.7,WA
16,016_1,PHedld,-,-,24,-20.3719,118.6317,C,1.7,WA
17,017_1,Broome,-,-,31,-17.9483,122.2353,C,1.7,WA
18,018_1,Weipa18,-,11/10/2015,35,-12.671,141.922,C,1.7,QLD
19,019_1,Cairns,-,19/11/2014,652,-16.817,145.683,C,1.7,QLD
19,019_2,Cairns,20/11/2014,-,652,-16.8182,145.6629,C,1,QLD
20,020_1,Twnsvl,-,-,16,-19.25,146.767,C,2.1,QLD
21,021_1,MtStrt,-,-,580,-19.35,146.783,S,3,QLD
22,022_1,Mackay,-,31/03/2006,45,-21.117,149.217,S,3,QLD
22,022_2,Mackay,1/04/2006,-,45,-21.1172,149.2172,C,1.7,QLD
23,023_1,Gladstn,-,5/12/2004,93,-23.855,151.2626,S,3,QLD
23,023_2,Gladstn,6/12/2004,-,93,-23.8551,151.2626,S,1.9,QLD
24,024_1,Bowen,-,-,72,-19.8857,148.0757,C,1.7,QLD
25,025_1,AliceSp,-,-,545,-23.795,133.8889,C,1.7,NT
26,026_1,PrthAP,-,-,24,-31.9273,115.9756,C,1.7,WA
27,027_1,Woomera,-,-,175,-31.1558,136.8044,C,1.7,SA
28,028_1,Grafton,-,-,40,-29.6207,152.9634,S,1.9,QLD
29,029_1,Lrmonth,-,-,332,-22.1032,113.9997,C,1.7,WA
30,030_1,Mildura,-,-,60,-34.2351,142.0861,C,2,VIC
31,031_1,Albany,-,30/11/2011,89,-34.9414,117.8022,C,1.7,WA
31,031_2,Albany,1/12/2011,-,89,-34.9418,117.8164,C,1.7,WA
32,032_1,Esprnce,-,-,42,-33.8302,121.8918,C,1.7,WA
33,033_1,Ceduna,-,30/06/2010,32,-32.1298,133.6963,C,2.1,SA
33,033_2,Ceduna,1/07/2010,-,32,-32.1298,133.6963,C,1.7,SA
34,034_1,CairnAP,-,-,9,-16.873,145.746,C,2,QLD
35,035_1,CoffsH,-,-,5,-30.317,153.117,C,2,NSW
36,036_1,GlfCarp,-,-,19,-16.659,139.1708,C,1.7,QLD
37,037_1,Hobart,-,-,31,-42.8374,147.5009,C,2,TAS
38,038_1,Charleville,-,1/10/2006,316,-26.4139,146.2558,C,2,QLD
38,038_2,Ndegate,01/10/2016,-,345.2,-33.097,119.009,C,1.7,WA
39,039_1,HallsCk,-,-,436,-18.2289,127.6628,C,1.7,NT
40,040_1,CapFlat,-,-,1383,-35.6614,149.5122,S,1.9,ACT
41,041_1,Willis,-,1/11/2006,20,-16.2874,149.9646,C,1.7,QLD
41,041_2,Willis,2/11/2006,16/11/2011,19,-16.2874,149.9646,C,1.7,QLD
41,041_3,Willis,17/11/2011,-,19,-16.2874,149.9646,C,1.7,QLD
42,042_1,Tindal,-,-,221,-14.5109,132.447,C,1.7,NT
43,043_1,BrisAP,-,-,6,-27.392,153.13,C,3,QLD
44,044_1,Giles,-,-,599,-25.0333,128.3017,C,2,NT
45,045_1,Eucla,-,-,108,-31.681,128.892,C,1.7,SA
46,046_1,Sellick,-,-,395,-35.3296,138.5025,C,1.7,SA
47,047_1,Rhmptn,-,-,14,-23.383,150.467,C,1.6,QLD
48,048_1,Kgrlie,-,22/04/2014,388,-30.7843,121.4548,C,1.6,WA
48,048_2,Kgrlie,23/04/2014,-,388,-30.7843,121.4548,C,1,WA
49,049_1,NEVic,-,-,146,-36.0296,146.0228,C,1,VIC
50,050_1,Marburg,-,-,372,-27.6064,152.5401,S,1.9,QLD
51,051_1,MelbnAP,-,-,123,-37.6656,144.8312,C,1.7,VIC
52,052_1,WTakone,-,4/04/2016,599,-41.1791,145.58,C,1.5,TAS
52,052_2,WTakone,5/04/2016,-,601,-41.1791,145.58,C,1,TAS
53,053_1,Moree,-,-,220,-29.4903,149.8462,C,1.7,NSW
54,054_1,Kurnell,-,-,64,-34.0148,151.2262,C,1,NSW
55,055_1,Wagga,-,-,221,-35.1582,147.4564,C,1.7,NSW
56,056_1,Longrch,-,-,200,-23.4398,144.2822,C,1.7,QLD
57,057_1,Esale,-,-,17,-38.12,147.13,S,3,VIC
58,058_1,SthDood,-,-,416,-31.777,117.9529,C,1.7,WA
63,063_1,Berrima,-,8/10/2014,51,-12.4559,130.9266,C,1,NT
63,063_2,Berrima,9/10/2014,-,51,-12.4559,130.9266,C,1,NT
64,064_1,BuckPk,-,-,30,-34.617,138.4689,S,1,SA
65,065_1,Tennant,-,-,394,-19.6423,134.1832,C,1.8,NT
66,066_1,MtStapl,-,-,174,-27.7178,153.24,S,1,QLD
67,067_1,Warrego,-,-,535,-26.44,147.3492,C,1.7,QLD
68,068_1,Bnsdale,-,-,64,-37.8876,147.5755,C,1.7,VIC
69,069_1,Namoi,-,-,699,-31.0243,150.1919,S,1.9,NSW
70,070_1,Serptin,-,-,40,-32.3918,115.867,C,1,WA
71,071_1,THills,-,-,195,-33.7008,151.2095,S,1,NSW
72,072_1,Emerald,-,-,211,-23.5496,148.2392,S,1.9,QLD
73,073_1,HrvyRng,-,-,590,-19.4199,146.5509,C,1,QLD
75,075_1,MntIsa,-,-,525,-20.7112,139.5553,S,1.9,QLD
76,076_1,Koonya,-,-,511,-43.1126,147.8052,C,1,TAS
77,077_1,Arafura,-,-,43,-11.6485,133.38,C,1,NT
78,078_1,Weipa78,12/10/2015,-,44,-12.6664,141.9246,C,1,NT
79,079_1,Wathroo,-,-,369,-30.36,116.2896,C,1.7,WA
